sensor_id,precovid_avg_hourly_counts,sensor_description,latitude,longitude,location,lockdown_avg_hourly_counts,declined_avg_hourly_counts,percent_decline
41,1864.0226925884149,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)",405.57519209659716,1458.4475004918177,78.24193912932421
35,1572.3759450568477,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)",363.28359925255137,1209.0923458042964,76.89588165001996
4,1491.6465883194066,Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)",292.33759869316634,1199.3089896262404,80.40168489088731
22,1549.8485624696375,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)",490.40402940375714,1059.4445330658805,68.35793888002111
3,1215.7196147495872,Melbourne Central,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)",195.11496300356262,1020.6046517460246,83.95066093889156
24,1208.8430451960385,Spencer St-Collins St (North),-37.81887962,144.95449198,"(-37.81887962, 144.95449198)",215.41904234708,993.4240028489585,82.17973431677845
6,1200.9580787401576,Flinders Street Station Underpass,-37.81911704,144.96558256,"(-37.81911704, 144.96558256)",250.95720904878715,950.0008696913704,79.10358292338988
2,1081.4480580032061,Bourke Street Mall (South),-37.81380667,144.96516719,"(-37.81380667, 144.96516719)",137.43465831745166,944.0133996857545,87.2916080157181
1,1166.007202076878,Bourke Street Mall (North),-37.8134944,144.96515324,"(-37.8134944, 144.96515324)",232.21276297335203,933.794439103526,80.0847917097135
5,1089.5566483254624,Princes Bridge,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)",266.2262147815435,823.330433543919,75.56563807942376
28,995.8513398099711,The Arts Centre,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)",193.78643076065757,802.0649090493135,80.54062659617087
45,911.3346439702709,Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)",143.99033487612306,767.3443090941479,84.20005912989079
57,838.9057971014493,Bourke St Bridge,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)",83.28723870779126,755.618558393658,90.07191999440678
47,975.71076895928,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077,"(-37.81160331, 144.96220077)",251.17900898448136,724.5317599747987,74.25681698149178
58,781.6449573430834,Bourke St - Spencer St (North),-37.81686074,144.95358075,"(-37.81686074, 144.95358075)",119.6736999727743,661.9712573703091,84.68950655300567
53,706.4579329079214,Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)",129.41913966784645,577.0387932400749,81.68055964278983
55,898.6044745484401,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331,"(-37.80988941, 144.96134331)",354.8105091206099,543.7939654278302,60.5153858933424
15,800.6786583990981,State Library,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)",258.8920595533499,541.7865988457482,67.66592229759355
21,612.9778457237704,Bourke St-Russell St (West),-37.81244703,144.96778757,"(-37.81244703, 144.96778757)",141.64630336688649,471.3315423568839,76.89210069253998
19,573.2165762561139,Chinatown-Swanston St (North),-37.81237202,144.96550671,"(-37.81237202, 144.96550671)",111.49686904437789,461.71970721173597,80.5489105404794
9,522.2479410535117,Southern Cross Station,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)",62.7341410291315,459.5138000243802,87.98767097050106
30,513.003023360625,Lonsdale St (South),-37.81121849,144.96656807,"(-37.81121849, 144.96656807)",91.49428260277702,421.50874075784793,82.1649623030663
61,489.8845802919708,RMIT Building 14,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)",95.28437244759053,394.6002078443803,80.54962816122911
29,449.5868605216871,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)",71.41737931034483,378.16948121134226,84.11488733734917
17,463.3603366649132,Collins Place (South),-37.81362542,144.97323592,"(-37.81362542, 144.97323592)",92.06847263817043,371.29186402674276,80.13026464439245
26,552.9262120919451,QV Market-Elizabeth St (West),-37.80869542,144.96049404,"(-37.80869542, 144.96049404)",197.00734255859928,355.91886953334586,64.37004825413499
52,406.48596642272923,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)",72.20773209910155,334.27823432362766,82.2361070089174
20,377.4341177094567,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)",50.36319085216444,327.07092685729225,86.65642863506756
63,446.0300096805421,231 Bourke St,-37.81333081,144.96675572,"(-37.81333081, 144.96675572)",127.12705882352941,318.9029508570127,71.49809293895247
14,398.72095483700326,Sandridge Bridge,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)",84.06286899632998,314.65808584067327,78.9168670528754
18,346.84609998014196,Collins Place (North),-37.81344861,144.97305354,"(-37.81344861, 144.97305354)",49.018206896551725,297.82789308359025,85.86744757996179
23,338.2907016563632,Spencer St-Collins St (South),-37.81909256,144.95452749,"(-37.81909256, 144.95452749)",66.97895647160566,271.3117451847575,80.20076929585753
7,368.6535630992485,Birrarung Marr,-37.81862929,144.97169395,"(-37.81862929, 144.97169395)",102.0819382060705,266.571624893178,72.30952080108118
25,564.3842376310465,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)",299.7858197932053,264.5984178378412,46.88267322072458
56,322.56816275167785,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311,"(-37.81234775, 144.96153311)",77.8637542662116,244.70440848546625,75.86130211921957
36,296.2442451975564,Queen St (West),-37.81652527,144.96121063,"(-37.81652527, 144.96121063)",57.10847965155846,239.1357655459979,80.72250159206484
40,291.9712356455876,Lonsdale St-Spring St (West),-37.80999341,144.97227588,"(-37.80999341, 144.97227588)",53.88730093915884,238.08393470642878,81.543626782273
42,251.28897445529677,Grattan St-Swanston St (West),-37.80008565,144.96386412,"(-37.80008565, 144.96386412)",38.3897359106997,212.89923854459707,84.72287294183332
31,285.17263941838814,Lygon St (West),-37.8016968,144.96658911,"(-37.8016968, 144.96658911)",76.01756057718487,209.15507884120328,73.34331907429012
39,229.89991107158738,Alfred Place,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)",26.576805978411294,203.32310509317608,88.43983633811165
59,269.39654126213594,Building 80 RMIT,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)",84.41001905799074,184.98652220414522,68.6669997088583
43,204.70451983898792,Monash Rd-Swanston St (West),-37.79844525,144.96411782,"(-37.79844525, 144.96411782)",31.12551048189491,173.579009357093,84.79490804288203
50,261.3718205445017,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)",91.24129898602357,170.13052155847814,65.0913787125385
48,254.87298883210298,QVM-Queen St (East),-37.80631581,144.95866698,"(-37.80631581, 144.95866698)",96.92989381976587,157.9430950123371,61.96933450503135
10,177.1623775474848,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)",26.817464710766675,150.34491283671812,84.86277668994434
65,242.40046296296296,Swanston St - City Square,-37.81569416,144.96680641,"(-37.81569416, 144.96680641)",95.05634953042058,147.34411343254237,60.785409248601766
64,192.89527027027026,Royal Pde - Grattan St,-37.79949544,144.95792282,"(-37.79949544, 144.95792282)",55.61787521079258,137.27739505947767,71.16680199941396
54,154.64880952380952,Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)",35.686501190071404,118.96230833373812,76.92416689145146
34,145.80751487072774,Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)",30.20065341682548,115.60686145390227,79.28731352180219
37,161.88340113194198,Lygon St (East),-37.80310271,144.96671452,"(-37.80310271, 144.96671452)",48.62849979105725,113.25490134088473,69.96078692995651
49,185.3943612774451,QVM-Therry St (South),-37.80730067,144.95956055,"(-37.80730067, 144.95956055)",90.38143207187585,95.01292920556926,51.24909331162514
46,103.19007391763463,Pelham St (South),-37.80240719,144.96156731,"(-37.80240719, 144.96156731)",20.97851045039741,82.21156346723723,79.67003060086742
44,99.38457998757563,Tin Alley-Swanston St (West),-37.79690473,144.96440378,"(-37.79690473, 144.96440378)",18.352551724137932,81.0320282634377,81.53380360773045
12,203.41722630271337,New Quay,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)",127.91964042495233,75.49758587776104,37.11464719581322
62,132.46336996336996,La Trobe St (North),-37.80996494,144.96216521,"(-37.80996494, 144.96216521)",58.70673607824578,73.75663388512417,55.68077718807854
27,128.76881549698317,QV Market-Peel St,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)",62.315527262662606,66.45328823432055,51.60666266738894
51,126.81227967097533,QVM-Franklin St (North),-37.80841814,144.95906317,"(-37.80841814, 144.95906317)",61.2953642384106,65.51691543256473,51.66448833074655
11,99.60206660719595,Waterfront City,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)",37.72393139123332,61.87813521596263,62.125352739912046
8,151.8104234666213,Webb Bridge,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)",111.79659632402995,40.01382714259135,26.357760046291702
