sensor_id,after_lockdown_avg_hourly_counts,sensor_description,latitude,longitude,location,lockdown_avg_hourly_counts,growth_avg_hourly_counts,percent_growth
41,1386.5409113796577,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)",405.57519209659716,980.9657192830605,241.87024709573967
35,1157.221129488899,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)",363.28359925255137,793.9375302363476,218.54483160535128
4,1032.7382896433176,Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)",292.33759869316634,740.4006909501512,253.2690609281723
3,904.3259347337826,Melbourne Central,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)",195.11496300356262,709.21097173022,363.4836410353984
5,838.6647156126734,Princes Bridge,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)",266.2262147815435,572.4385008311299,215.01958449165278
1,768.6446390658174,Bourke Street Mall (North),-37.8134944,144.96515324,"(-37.8134944, 144.96515324)",232.21276297335203,536.4318760924654,231.00878230109365
66,764.9793021095927,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)",235.12452188695283,529.8547802226399,225.35071032590656
6,730.3839416058394,Flinders Street Station Underpass,-37.81911704,144.96558256,"(-37.81911704, 144.96558256)",250.95720904878715,479.4267325570522,191.0392350848346
47,692.7770906949352,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077,"(-37.81160331, 144.96220077)",251.17900898448136,441.5980817104538,175.8101059064761
25,723.0299893842888,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)",299.7858197932053,423.2441695910835,141.18218462869285
28,610.9983896940419,The Arts Centre,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)",193.78643076065757,417.21195893338427,215.29472280165783
45,551.7798202614379,Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)",143.99033487612306,407.78948538531483,283.20615111850526
24,608.7283704883228,Spencer St-Collins St (North),-37.81887962,144.95449198,"(-37.81887962, 144.95449198)",215.41904234708,393.30932814124276,182.57871906586075
2,517.0796178343949,Bourke Street Mall (South),-37.81380667,144.96516719,"(-37.81380667, 144.96516719)",137.43465831745166,379.64495951694323,276.23669616147714
15,600.7114583333333,State Library,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)",258.8920595533499,341.81939877998343,132.03162714596303
22,824.4450757575758,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)",490.40402940375714,334.0410463538186,68.11547750942265
