day,sensor_id,avg_hourly_counts,sensor_description,latitude,longitude,location,rank
Friday,38,2790.0119047619046,Flinders St-Swanston St (West),-37.81723437,144.96715033,"(-37.81723437, 144.96715033)",1
Friday,60,1931.286111111111,Flinders La - Swanston St (West) Temporary,-37.81668188,144.9668954,"(-37.81668188, 144.9668954)",2
Friday,4,1582.6454868974442,Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)",3
Friday,41,1491.6409370199692,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)",4
Friday,22,1485.3616996233523,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)",5
Friday,35,1453.5022374309028,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)",6
Friday,6,1285.2040828580007,Flinders Street Station Underpass,-37.81911704,144.96558256,"(-37.81911704, 144.96558256)",7
Friday,3,1263.268665158371,Melbourne Central,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)",8
Friday,1,1239.2645799892991,Bourke Street Mall (North),-37.8134944,144.96515324,"(-37.8134944, 144.96515324)",9
Friday,32,1235.6483228511531,City Square,-37.81573742,144.96685718,"(-37.81573742, 144.96685718)",10
Friday,24,1197.8836615609046,Spencer St-Collins St (North),-37.81887962,144.95449198,"(-37.81887962, 144.95449198)",11
Friday,5,1142.4722426922133,Princes Bridge,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)",12
Friday,2,1135.3268585131893,Bourke Street Mall (South),-37.81380667,144.96516719,"(-37.81380667, 144.96516719)",13
Friday,13,956.3524180655476,Flagstaff Station,-37.81239679,144.95652653,"(-37.81239679, 144.95652653)",14
Friday,84,932.6397058823529,Elizabeth St - Flinders St (East) - New footpath,-37.81798049,144.96503383,"(-37.81798049, 144.96503383)",15
Friday,28,925.4810357403355,The Arts Centre,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)",16
Friday,16,889.0813271604939,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)",17
Friday,15,864.73209249859,State Library,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)",18
Friday,47,827.4435797665369,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077,"(-37.81160331, 144.96220077)",19
Friday,45,723.8263888888889,Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)",20
Friday,53,661.0748587570622,Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)",21
Friday,55,641.6084656084656,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331,"(-37.80988941, 144.96134331)",22
Friday,21,633.244884672619,Bourke St-Russell St (West),-37.81244703,144.96778757,"(-37.81244703, 144.96778757)",23
Friday,25,620.9257477120483,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)",24
Friday,9,590.3323727185399,Southern Cross Station,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)",25
Friday,57,582.6338058419244,Bourke St Bridge,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)",26
Friday,58,567.7042483660131,Bourke St - Spencer St (North),-37.81686074,144.95358075,"(-37.81686074, 144.95358075)",27
Friday,19,560.3870997088792,Chinatown-Swanston St (North),-37.81237202,144.96550671,"(-37.81237202, 144.96550671)",28
Friday,66,541.7145316804408,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)",29
Friday,30,518.7802859292701,Lonsdale St (South),-37.81121849,144.96656807,"(-37.81121849, 144.96656807)",30
Friday,17,518.5655946911689,Collins Place (South),-37.81362542,144.97323592,"(-37.81362542, 144.97323592)",31
Friday,26,517.3252514367816,QV Market-Elizabeth St (West),-37.80869542,144.96049404,"(-37.80869542, 144.96049404)",32
Friday,79,439.18096856414616,Flinders St (South),-37.81794046,144.96616678,"(-37.81794046, 144.96616678)",33
Friday,14,414.48460762048956,Sandridge Bridge,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)",34
Friday,18,391.25835809806836,Collins Place (North),-37.81344861,144.97305354,"(-37.81344861, 144.97305354)",35
Friday,20,389.7119330453564,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)",36
Friday,29,369.43194431379925,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)",37
Friday,23,351.3444383259912,Spencer St-Collins St (South),-37.81909256,144.95452749,"(-37.81909256, 144.95452749)",38
Friday,7,349.42001351249905,Birrarung Marr,-37.81862929,144.97169395,"(-37.81862929, 144.97169395)",39
Friday,52,335.81474103585657,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)",40
Friday,36,309.2208945406709,Queen St (West),-37.81652527,144.96121063,"(-37.81652527, 144.96121063)",41
Friday,63,288.937479648323,231 Bourke St,-37.81333081,144.96675572,"(-37.81333081, 144.96675572)",42
Friday,40,284.14815989847716,Lonsdale St-Spring St (West),-37.80999341,144.97227588,"(-37.80999341, 144.97227588)",43
Friday,61,274.60042735042737,RMIT Building 14,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)",44
Friday,31,268.45160707836766,Lygon St (West),-37.8016968,144.96658911,"(-37.8016968, 144.96658911)",45
Friday,67,262.02684294871796,Flinders Ln -Degraves St (South),-37.81688755,144.9656257,"(-37.81688755, 144.9656257)",46
Friday,72,261.42587209302326,Flinders St- ACMI,-37.81726337,144.96872809,"(-37.81726337, 144.96872809)",47
Friday,65,261.4114583333333,Swanston St - City Square,-37.81569416,144.96680641,"(-37.81569416, 144.96680641)",48
Friday,59,259.88468468468466,Building 80 RMIT,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)",49
Friday,56,253.5239579275419,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311,"(-37.81234775, 144.96153311)",50
Friday,39,235.25850778314546,Alfred Place,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)",51
Friday,50,233.74922839506172,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)",52
Friday,42,224.60656836461126,Grattan St-Swanston St (West),-37.80008565,144.96386412,"(-37.80008565, 144.96386412)",53
Friday,12,215.43450577981085,New Quay,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)",54
Friday,10,195.95429703921687,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)",55
