month,sensor_id,avg_hourly_counts,sensor_description,latitude,longitude,location,rank
April,38,2572.9944444444445,Flinders St-Swanston St (West),-37.81723437,144.96715033,"(-37.81723437, 144.96715033)",1
April,60,1664.3645484949832,Flinders La - Swanston St (West) Temporary,-37.81668188,144.9668954,"(-37.81668188, 144.9668954)",2
April,4,1445.1296211251436,Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)",3
April,35,1374.17239010989,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)",4
April,22,1340.663120567376,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)",5
April,41,1314.6538194444445,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)",6
April,32,1231.5560185185186,City Square,-37.81573742,144.96685718,"(-37.81573742, 144.96685718)",7
April,3,1160.487171297775,Melbourne Central,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)",8
April,5,1137.3813900650625,Princes Bridge,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)",9
April,6,1082.8991452991454,Flinders Street Station Underpass,-37.81911704,144.96558256,"(-37.81911704, 144.96558256)",10
April,1,1064.2211805555555,Bourke Street Mall (North),-37.8134944,144.96515324,"(-37.8134944, 144.96515324)",11
April,84,968.2388888888889,Elizabeth St - Flinders St (East) - New footpath,-37.81798049,144.96503383,"(-37.81798049, 144.96503383)",12
April,24,959.108950617284,Spencer St-Collins St (North),-37.81887962,144.95449198,"(-37.81887962, 144.95449198)",13
April,28,944.0947449768161,The Arts Centre,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)",14
April,2,941.8239316239316,Bourke Street Mall (South),-37.81380667,144.96516719,"(-37.81380667, 144.96516719)",15
April,15,855.4959722222222,State Library,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)",16
April,16,731.0658333333333,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)",17
April,13,725.8988347457627,Flagstaff Station,-37.81239679,144.95652653,"(-37.81239679, 144.95652653)",18
April,47,720.5872222222222,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077,"(-37.81160331, 144.96220077)",19
April,45,615.9534722222222,Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)",20
April,66,614.4288547347546,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)",21
April,21,567.098048941799,Bourke St-Russell St (West),-37.81244703,144.96778757,"(-37.81244703, 144.96778757)",22
April,25,566.125322997416,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)",23
April,53,557.6243811881188,Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)",24
April,79,537.0915141430949,Flinders St (South),-37.81794046,144.96616678,"(-37.81794046, 144.96616678)",25
April,19,516.5194327731092,Chinatown-Swanston St (North),-37.81237202,144.96550671,"(-37.81237202, 144.96550671)",26
April,55,495.5833333333333,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331,"(-37.80988941, 144.96134331)",27
April,26,474.1152777777778,QV Market-Elizabeth St (West),-37.80869542,144.96049404,"(-37.80869542, 144.96049404)",28
April,58,467.8197916666667,Bourke St - Spencer St (North),-37.81686074,144.95358075,"(-37.81686074, 144.95358075)",29
April,57,465.28115942028984,Bourke St Bridge,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)",30
April,30,461.4039440203562,Lonsdale St (South),-37.81121849,144.96656807,"(-37.81121849, 144.96656807)",31
April,9,432.9316258107068,Southern Cross Station,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)",32
April,59,411.275,Building 80 RMIT,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)",33
April,17,396.44109195402297,Collins Place (South),-37.81362542,144.97323592,"(-37.81362542, 144.97323592)",34
April,14,374.76440677966104,Sandridge Bridge,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)",35
April,65,352.92329545454544,Swanston St - City Square,-37.81569416,144.96680641,"(-37.81569416, 144.96680641)",36
April,20,352.543990086741,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)",37
April,67,348.5423611111111,Flinders Ln -Degraves St (South),-37.81688755,144.9656257,"(-37.81688755, 144.9656257)",38
April,29,346.58018207282913,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)",39
April,72,331.0513888888889,Flinders St- ACMI,-37.81726337,144.96872809,"(-37.81726337, 144.96872809)",40
April,7,320.0457157784744,Birrarung Marr,-37.81862929,144.97169395,"(-37.81862929, 144.97169395)",41
April,63,299.34583333333336,231 Bourke St,-37.81333081,144.96675572,"(-37.81333081, 144.96675572)",42
April,18,293.6295677361854,Collins Place (North),-37.81344861,144.97305354,"(-37.81344861, 144.97305354)",43
April,52,290.2894444444444,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)",44
April,23,277.9972330729167,Spencer St-Collins St (South),-37.81909256,144.95452749,"(-37.81909256, 144.95452749)",45
April,31,243.4391975308642,Lygon St (West),-37.8016968,144.96658911,"(-37.8016968, 144.96658911)",46
